"Year","From_League","To_League","Longitude","Latitude","Distinction","Season","From_League_name","To_League_name","Fee_total","From_To"
2018,"FR1","IT1",2.37576335904583,46.814721861778,0,"18/19","Ligue 1","Serie A",68700000,"Ligue 1Serie A"
2018,"FR1","IT1",3.24330021862586,46.2823942206911,1,"18/19","Ligue 1","Serie A",68700000,"Ligue 1Serie A"
2018,"FR1","IT1",4.12839593265903,45.7798024408189,2,"18/19","Ligue 1","Serie A",68700000,"Ligue 1Serie A"
2018,"FR1","IT1",5.03003166459711,45.3075250571899,3,"18/19","Ligue 1","Serie A",68700000,"Ligue 1Serie A"
2018,"FR1","IT1",5.94716953862356,44.8661057098327,4,"18/19","Ligue 1","Serie A",68700000,"Ligue 1Serie A"
2018,"FR1","IT1",6.8787538343558,44.4560525179903,5,"18/19","Ligue 1","Serie A",68700000,"Ligue 1Serie A"
2018,"FR1","IT1",7.82371220208832,44.0778374952224,6,"18/19","Ligue 1","Serie A",68700000,"Ligue 1Serie A"
2018,"FR1","IT1",8.78095689717794,43.7318960060688,7,"18/19","Ligue 1","Serie A",68700000,"Ligue 1Serie A"
2018,"FR1","IT1",9.74938603215024,43.4186262649002,8,"18/19","Ligue 1","Serie A",68700000,"Ligue 1Serie A"
2018,"FR1","IT1",10.7278848450857,43.1383888775321,9,"18/19","Ligue 1","Serie A",68700000,"Ligue 1Serie A"
2018,"FR1","IT1",11.7153269828259,42.8915064261303,10,"18/19","Ligue 1","Serie A",68700000,"Ligue 1Serie A"
2018,"FR1","IT1",12.7105757975221,42.6782630978858,11,"18/19","Ligue 1","Serie A",68700000,"Ligue 1Serie A"
2018,"IT1","FR1",12.7174978118279,42.6726928267669,0,"18/19","Serie A","Ligue 1",38150000,"Serie ALigue 1"
