Season,Player,From_Club,To_Club,From_League,To_League,Fee
21/22,Luis Advíncula,rayo-vallecano,club-atletico-boca-juniors,ES1,AR1N,2200000.0
22/23,Aurélien Tchouaméni,as-monaco,real-madrid,FR1,ES1,80000000.0
22/23,Borja Mayoral,real-madrid,fc-getafe,ES1,ES1,10000000.0
22/23,Takefusa Kubo,real-madrid,real-sociedad-san-sebastian,ES1,ES1,6500000.0
22/23,Miguel Gutiérrez,real-madrid,fc-girona,ES1,ES1,4000000.0
22/23,Víctor Chust,real-madrid,fc-cadiz,ES1,ES1,1000000.0
22/23,Jules Koundé,fc-sevilla,fc-barcelona,ES1,ES1,50000000.0
22/23,Robert Lewandowski,fc-bayern-munchen,fc-barcelona,L1,ES1,45000000.0
22/23,Pablo Torre,racing-santander,fc-barcelona,ES2,ES1,5000000.0
22/23,Memphis Depay,fc-barcelona,atletico-madrid,ES1,ES1,3000000.0
22/23,Héctor Bellerín,fc-barcelona,sporting-lissabon,ES1,PO1,1000000.0
22/23,Tanguy Nianzou,fc-bayern-munchen,fc-sevilla,L1,ES1,16000000.0
22/23,Marcão,galatasaray-istanbul,fc-sevilla,TR1,ES1,13000000.0
22/23,Federico Gattoni,club-atletico-san-lorenzo-de-almagro,fc-sevilla,AR1N,ES1,1400000.0
22/23,Alejandro Pozo,fc-sevilla,ud-almeria,ES1,ES1,3000000.0
22/23,Luuk de Jong,fc-sevilla,psv-eindhoven,ES1,NL1,3000000.0
22/23,Nahuel Molina,udinese-calcio,atletico-madrid,IT1,ES1,20000000.0
22/23,Samuel Lino,gil-vicente-fc,atletico-madrid,PO1,ES1,6500000.0
22/23,Nehuén Pérez,atletico-madrid,udinese-calcio,ES1,IT1,8000000.0
22/23,Daniel Wass,atletico-madrid,brondby-if,ES1,DKMR,1750000.0
22/23,Umar Sadiq,ud-almeria,real-sociedad-san-sebastian,ES1,ES1,20000000.0
22/23,Brais Méndez,celta-vigo,real-sociedad-san-sebastian,ES1,ES1,14000000.0
22/23,Mohamed-Ali Cho,sco-angers,real-sociedad-san-sebastian,FR1,ES1,13000000.0
22/23,Willian José,real-sociedad-san-sebastian,real-betis-sevilla,ES1,ES1,10000000.0
22/23,Mathew Ryan,real-sociedad-san-sebastian,fc-kopenhagen,ES1,DKMR,500000.0
22/23,Luiz Henrique,fluminense-rio-de-janeiro,real-betis-sevilla,BRA1,ES1,10400000.0
22/23,Abner,club-athletico-paranaense,real-betis-sevilla,BRA1,ES1,7000000.0
22/23,Marc Bartra,real-betis-sevilla,trabzonspor,ES1,TR1,1250000.0
22/23,Johan Mojica,fc-elche,fc-villarreal,ES1,ES1,5500000.0
22/23,Kiko Femenía,fc-watford,fc-villarreal,GB2,ES1,980000.0
22/23,Gerónimo Rulli,fc-villarreal,ajax-amsterdam,ES1,NL1,8000000.0
22/23,Moi Gómez,fc-villarreal,ca-osasuna,ES1,ES1,1800000.0
22/23,André Almeida,vitoria-guimaraes-sc,fc-valencia,PO1,ES1,8000000.0
22/23,Hugo Duro,fc-getafe,fc-valencia,ES1,ES1,4000000.0
22/23,Carlos Soler,fc-valencia,fc-paris-saint-germain,ES1,FR1,18000000.0
22/23,Maxi Gómez,fc-valencia,trabzonspor,ES1,TR1,3000000.0
22/23,Jasper Cillessen,fc-valencia,nec-nijmegen,ES1,NL1,1000000.0
22/23,Marc Cardona,ca-osasuna,ud-las-palmas,ES1,ES2,250000.0
22/23,Nicolás Fernández Mercau,club-atletico-san-lorenzo-de-almagro,fc-elche,AR1N,ES1,4000000.0
22/23,Ezequiel Ponce,spartak-moskau,fc-elche,RU1,ES1,4000000.0
22/23,Roger Martí,ud-levante,fc-elche,ES2,ES1,3000000.0
22/23,Lautaro Blanco,club-atletico-rosario-central,fc-elche,AR1N,ES1,1960000.0
22/23,Roger Martí,fc-elche,fc-cadiz,ES1,ES1,2000000.0
22/23,Iván Marcone,fc-elche,club-atletico-independiente,ES1,AR1N,1900000.0
22/23,Jørgen Strand Larsen,fc-groningen,celta-vigo,NL1,ES1,12400000.0
22/23,Williot Swedberg,hammarby-if,celta-vigo,SE1,ES1,5500000.0
22/23,Luca de la Torre,heracles-almelo,celta-vigo,NL2,ES1,1400000.0
22/23,Agustín Marchesín,fc-porto,celta-vigo,PO1,ES1,1050000.0
22/23,Julen Lobete,real-sociedad-b,celta-vigo,E3G2,ES1,1000000.0
22/23,Néstor Araújo,celta-vigo,cf-america,ES1,MEXA,3000000.0
22/23,César Montes,cf-monterrey,espanyol-barcelona,MEXA,ES1,8000000.0
22/23,Edu Expósito,sd-eibar,espanyol-barcelona,ES2,ES1,4500000.0
22/23,José Gragera,sporting-gijon,espanyol-barcelona,ES2,ES1,2800000.0
22/23,Tonny Vilhena,fk-krasnodar,espanyol-barcelona,RU1,ES1,2500000.0
22/23,Fernando Pacheco,ud-almeria,espanyol-barcelona,ES1,ES1,2200000.0
