Season,Player,From_Club,To_Club,From_League,To_League,Fee
19/20,Valentin Rongier,fc-nantes,olympique-marseille,FR1,FR1,13000000.0
19/20,Lucas Lima,fc-nantes,al-ahli-dschidda,FR1,SA1,6000000.0
19/20,Koffi Djidji,fc-nantes,fc-turin,FR1,IT1,3000000.0
19/20,Santy Ngom,fc-nantes,sm-caen,FR1,FR2,500000.0
19/20,Kasper Dolberg,ajax-amsterdam,ogc-nizza,NL1,FR1,20500000.0
19/20,Alexis Claude-Maurice,fc-lorient,ogc-nizza,FR2,FR1,13000000.0
19/20,Stanley Nsoki,fc-paris-saint-germain,ogc-nizza,FR1,FR1,12500000.0
19/20,Hicham Boudaoui,paradou-ac,ogc-nizza,ALG1,FR1,4000000.0
19/20,Allan Saint-Maximin,ogc-nizza,newcastle-united,FR1,GB1,18000000.0
19/20,Romain Perraud,ogc-nizza,stade-brest-29,FR1,FR1,2000000.0
19/20,Olivier Boscagli,ogc-nizza,psv-eindhoven,FR1,NL1,2000000.0
19/20,Mickaël Le Bihan,ogc-nizza,aj-auxerre,FR1,FR2,500000.0
19/20,Vincent Marcel,ogc-nizza,vitoria-guimaraes-sc-b,FR1,,100000.0
