,Unnamed: 0,Year,From_League,To_League,Longitude,Latitude,Distinction,Season,From_League_name,To_League_name,Fee_total,From_To,From_Country,new_distinction
172,172,2018,IT1,ES1,8.76049843230154,42.6239329684093,4,18/19,Serie A,LaLiga,55500000,Serie ALaLiga,Italy,4
173,173,2018,IT1,ES1,7.77276225027555,42.5633000671896,5,18/19,Serie A,LaLiga,55500000,Serie ALaLiga,Italy,5
174,174,2018,IT1,ES1,6.7864195081602,42.4831308145428,6,18/19,Serie A,LaLiga,55500000,Serie ALaLiga,Italy,6
175,175,2018,IT1,ES1,5.80185657578486,42.3834566143402,7,18/19,Serie A,LaLiga,55500000,Serie ALaLiga,Italy,7
176,176,2018,IT1,ES1,4.81945912579245,42.264316510924,8,18/19,Serie A,LaLiga,55500000,Serie ALaLiga,Italy,8
177,177,2018,IT1,ES1,3.83961198256394,42.1257571738135,9,18/19,Serie A,LaLiga,55500000,Serie ALaLiga,Italy,9
178,178,2018,IT1,ES1,2.86269897147501,41.967832879423,10,18/19,Serie A,LaLiga,55500000,Serie ALaLiga,Italy,10
179,179,2018,IT1,ES1,1.88910276854414,41.7906054898011,11,18/19,Serie A,LaLiga,55500000,Serie ALaLiga,Italy,11
180,180,2018,IT1,ES1,0.91920475053089,41.5941444283982,12,18/19,Serie A,LaLiga,55500000,Serie ALaLiga,Italy,12
181,181,2018,IT1,ES1,-0.0466151544568518,41.3785266528715,13,18/19,Serie A,LaLiga,55500000,Serie ALaLiga,Italy,13
182,182,2018,IT1,ES1,-1.00797861578819,41.1438366249398,14,18/19,Serie A,LaLiga,55500000,Serie ALaLiga,Italy,14
183,183,2018,IT1,ES1,-1.96450904850876,40.8901662772974,15,18/19,Serie A,LaLiga,55500000,Serie ALaLiga,Italy,15
184,184,2018,IT1,ES1,-2.91583176085644,40.6176149776032,16,18/19,Serie A,LaLiga,55500000,Serie ALaLiga,Italy,16
185,185,2018,FR1,GB1,-1.23348391982723,52.9151915060127,0,18/19,Ligue 1,Premier League,214500000,Ligue 1Premier League,France,7
186,186,2018,FR1,GB1,-0.902825003039707,51.9487327557259,1,18/19,Ligue 1,Premier League,214500000,Ligue 1Premier League,France,6
187,187,2018,FR1,GB1,-0.50715773909986,51.007018759067,2,18/19,Ligue 1,Premier League,214500000,Ligue 1Premier League,France,5
188,188,2018,FR1,GB1,-0.0483169300224944,50.0944164649749,3,18/19,Ligue 1,Premier League,214500000,Ligue 1Premier League,France,4
189,189,2018,FR1,GB1,0.471569671614159,49.2151578245876,4,18/19,Ligue 1,Premier League,214500000,Ligue 1Premier League,France,3
190,190,2018,FR1,GB1,1.05009122955678,48.3733201666911,5,18/19,Ligue 1,Premier League,214500000,Ligue 1Premier League,France,2
191,191,2018,FR1,GB1,1.68456500349082,47.5728072901883,6,18/19,Ligue 1,Premier League,214500000,Ligue 1Premier League,France,1
192,192,2018,FR1,GB1,2.37204878953728,46.8173313612665,7,18/19,Ligue 1,Premier League,214500000,Ligue 1Premier League,France,0
193,193,2018,GB1,FR1,2.37176463018962,46.8119779916499,0,18/19,Premier League,Ligue 1,27100000,Premier LeagueLigue 1,United Kingdom,7
